"productid","productname","Category","SubCategory","Sales","Quantity","CustomerID","customername","SpendingScore","AnnualIncomek","gender","age","customertype","Stockid","name","rating","location","noofemployees","Invoiceid","Description","InvoiceDate","Price","Country"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,17850,"DAVID",96,1400,"Male",32,"citizen",536365,"NeimanMarcus",4,"UnitedKingdom",4000,"85123A","WHITEHANGINGHEARTT-LIGHTHOLDER",1212010826,255,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,17850,"DAVID",96,1400,"Male",32,"citizen",536365,"NeimanMarcus",4,"UnitedKingdom",4000,"71053","WHITEMETALLANTERN",1212010826,339,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,13047,"ALEX",66,1900,"Male",22,"citizen",536367,"NordstromRack",4,"UnitedKingdom",5000,"84879","ASSORTEDCOLOURBIRDORNAMENT",1212010834,169,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,13047,"ALEX",66,1900,"Male",22,"citizen",536367,"NordstromRack",4,"UnitedKingdom",5000,"22745","POPPY'SPLAYHOUSEBEDROOM",1212010834,21,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,13047,"ALEX",66,1900,"Male",22,"citizen",536367,"NordstromRack",4,"UnitedKingdom",5000,"21777","RECIPEBOXWITHMETALHEART",1212010834,795,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,13047,"ALEX",66,1900,"Male",22,"citizen",536368,"Nordstrom",4,"UnitedKingdom",1000,"22912","YELLOWCOATRACKPARISFASHION",1212010834,495,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,13047,"ALEX",66,1900,"Male",22,"citizen",536368,"Nordstrom",4,"UnitedKingdom",1000,"22914","BLUECOATRACKPARISFASHION",1212010834,495,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,12583,"RUBIAN",32,1200,"Female",22,"citizen",536370,"SaksFifthAvenue",4,"France",4000,"22728","ALARMCLOCKBAKELIKEPINK",1212010845,375,"France"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,17850,"DAVID",96,1400,"Male",32,"citizen",536366,"BergdorfGoodman",3,"UnitedKingdom",3200,"22633","HANDWARMERUNIONJACK",1212010828,185,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,13047,"ALEX",66,1900,"Male",22,"citizen",536369,"HudsonBayCompany",4,"UnitedKingdom",6000,"21756","BATHBUILDINGBLOCKWORD",1212010835,595,"UnitedKingdom"
